"Time [ms]","Moving1.Torque [NewtonMeter]"
0,0
0.2,-0.0289760275135621
0.4,-0.0154208194283844
0.6,-0.153266414545533
0.8,-0.377337181209691
1,-0.883062250112442
1.2,-1.01426848259499
1.4,-0.335970595873142
1.6,-0.950666115290742
1.8,-2.32108898953448
2,-2.04844865950314
2.2,-1.38470632067056
2.4,-1.19212061062378
2.6,-3.75042325801243
2.8,-4.07584350278092
3,-3.66418050452079
3.2,-2.13269631987955
3.4,-1.05884993891637
3.6,-4.24102662204859
3.8,-4.13678588972473
4,-2.97564950230757
4.2,-5.21953683262755
4.4,-4.00662570634163
4.6,-3.82440583163799
4.8,-5.76500736703807
5,-3.95870736524203
5.2,-4.06095125909464
5.4,-4.96887080349682
5.6,-3.27574675215814
5.8,-3.06841330343515
6,-3.87313833758905
6.2,-3.96415943324908
6.4,-4.42508510023906
6.6,-5.75413106680623
6.8,-3.71789171699039
7,-2.47880863213724
7.2,-5.34463546645887
7.4,-6.6565340658533
7.59999999999999,-3.66042061204543
7.79999999999999,-3.00704758275486
7.99999999999999,-4.87955402501201
8.2,-3.70002876580666
8.4,-3.11941745923264
8.6,-4.37284883078796
8.8,-5.45163666829577
9,-2.67901817625491
9.2,-1.86856236328126
9.4,-2.34820338424603
9.6,-4.92546639279736
9.8,-5.68165072809918
10,-4.60006339935087
10.2,-3.84787848022494
10.4,-4.02862135280937
10.6,-3.41845975452451
10.8,-2.21020162391285
11,-1.99102706900285
11.2,-2.96474789716598
11.4,-4.21092790098149
11.6,-3.93225298609585
11.8,-2.20658310152413
12,0.398369182813601
12.2,0.921478685678066
12.4,0.846714410789411
12.6,-0.188090791838529
12.8,-0.649772286864675
13,-1.4161538564743
13.2,-1.43476656847608
13.4,-1.05465950533036
13.6,-0.0587148185531876
13.8,1.6843729130473
14,3.86300166817157
14.2,5.1449547184197
14.4,4.82148576729442
14.6,4.12010398251875
14.8,2.93251518890205
15,2.69089741166106
15.2,3.2284444288609
15.4,4.51024955257635
15.6,6.0976609384107
15.8,7.16071256490988
16,7.36116755675868
16.2,7.1984124675288
16.4,6.7598725585609
16.6,6.63945763988846
16.8,6.86771217653591
17,7.83176649193687
17.2,9.2676397197239
17.4,10.1616720778042
17.6,10.5035818682862
17.8,9.85102940423121
18,8.98283503630865
18.2,8.2127213660136
18.4,8.62693943058071
18.6,9.68495310817409
18.8,11.0515007706851
19,10.8424036467844
19.2,10.8934355356662
19.4,10.613070285093
19.6,10.5334709485696
19.8,10.0071396945684
20,9.95547763539934
20.2,10.4881013775493
20.4,11.5141518820759
20.6,12.3230544426266
20.8,10.6910942373912
21,9.87973516479558
21.2,10.1332263292329
21.4,10.92692149573
21.6,10.749249824021
21.8,9.82815447519199
22,10.6505883237913
22.2,10.9875226128165
22.4,9.62003180542617
22.6,8.50693511381031
22.8,10.7748456562464
23,11.1875195997925
23.2,9.8617357665654
23.4,10.904045144465
23.6,12.9682466364547
23.8,11.7273093285448
24,9.13679380843421
24.2,9.57902065358334
24.4,10.864504666534
24.6,9.588654311969
24.8,10.1592157971209
25,12.5804617658437
25.2,10.298765856514
25.4,9.76269525735759
25.6,13.1384891473358
25.8,10.7180389669558
26,10.5967430029088
26.2,11.9146364020224
26.4,9.08906885132322
26.6,9.99702808546771
26.7999999999999,13.2833624842556
26.9999999999999,12.4930115513972
27.1999999999999,13.3292121366507
27.3999999999999,13.6939255588546
27.5999999999999,11.8230926120582
27.7999999999999,14.8164641387236
27.9999999999999,15.6444727445596
28.1999999999999,11.2199094960431
28.3999999999999,12.7540956492548
28.5999999999999,11.4599851751272
28.7999999999999,13.4835789921539
28.9999999999999,15.817101736713
29.1999999999999,13.7937435438488
29.3999999999999,15.9402379162633
29.5999999999999,13.1839117443371
29.7999999999999,14.7278114478393
29.9999999999999,12.3397564149038
30.1999999999999,11.20936544111
30.3999999999999,12.9615961501165
30.5999999999999,12.6729607154625
30.7999999999999,15.6060205444625
30.9999999999999,12.0970905252273
31.1999999999999,13.0484234782292
31.3999999999999,10.812258341451
31.5999999999999,11.5618489627315
31.7999999999999,8.67493024205477
31.9999999999999,8.43428616853415
32.1999999999999,9.84265025562532
32.3999999999999,12.6383419951564
32.5999999999999,9.47930741822952
32.7999999999999,6.29903508068471
32.9999999999999,6.57551797109088
33.1999999999999,7.90290737211219
33.3999999999999,4.86331685502372
33.5999999999999,3.29016531986522
33.7999999999999,5.91829942726435
33.9999999999999,6.43631365033459
34.1999999999999,2.1918145490392
34.3999999999999,0.0773802179237724
34.5999999999999,2.6067811929727
34.7999999999999,2.20962086534242
34.9999999999999,-0.802832201541388
35.1999999999999,-0.417843614806761
