"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.2,0.0727386088434373,-0.982015253071834,0.909276644228396
0.4,0.189869819951932,-1.93910142569328,1.74923160574135
0.6,0.361955023400742,-2.844359124863,2.48240410146226
0.8,0.658609405655092,-3.80218884348826,3.14357943783317
1,0.988209641118864,-4.77650679046378,3.78829714934491
1.2,1.27818718949269,-5.7195872539032,4.44140006441051
1.4,1.62974512688535,-6.53916124840089,4.90941612151553
1.6,2.11918577331435,-7.43966246839407,5.32047669507973
1.8,2.7261577083914,-8.41668119639413,5.69052348800273
2,3.17403777447962,-9.28759040586387,6.11355263138425
2.2,3.71749981781943,-10.2320856423901,6.51458582457065
2.4,4.37580560374109,-11.0776656454513,6.70186004171023
2.6,5.10930477761471,-11.9465880464147,6.8372832688
2.8,5.80029150782049,-12.7251708493424,6.92487934152194
3,6.37462913237483,-13.5356212172349,7.16099208486007
3.2,7.19991334779259,-14.3862859758584,7.1863726280658
3.4,8.03805792838025,-15.1735338820449,7.13547595366465
3.6,8.81572402699107,-15.7588177111894,6.94309368419837
3.8,9.49704883070489,-16.3248009872823,6.82775215657746
4,10.4248838177963,-17.1791262014482,6.75424238365184
4.2,11.4321234064594,-17.9572672437538,6.52514383729433
4.4,12.1330514331927,-18.3220882484368,6.18903681524406
4.6,12.835712973422,-18.5166564340613,5.68094346063938
4.8,13.7200537585134,-19.0996403908361,5.37958663232267
5,14.8403960121199,-19.8633459942196,5.0229499820997
5.2,15.5660902349742,-20.12079262991,4.55470239493585
5.4,16.0723175969353,-19.9842868111336,3.91196921419825
5.6,16.8474253575556,-20.1237175266116,3.27629216905607
5.8,17.9342500025479,-20.7068446867806,2.7725946842326
6,18.7400533303317,-20.9084381462714,2.16838481593966
6.2,19.0671449114069,-20.5616636368912,1.49451872548422
6.4,19.6223641316756,-20.2883768023879,0.666012670712323
6.6,20.642659936223,-20.5412340973175,-0.101425838905531
6.8,21.4576917404019,-20.7153571372882,-0.742334603113658
7,21.7235737332811,-20.2497571615478,-1.47381657173333
7.2,21.9133844813382,-19.6290654688397,-2.28431901249852
7.4,22.741816179942,-19.5526647127302,-3.18915146721178
7.59999999999999,23.512290169883,-19.597793890632,-3.91449627925103
7.79999999999999,23.7598264640317,-19.1436146041646,-4.61621185986704
8,23.6396644366372,-18.2614913836385,-5.37817305299865
8.2,24.0586826141031,-17.8812312584929,-6.17745135561017
8.4,24.7616958397107,-17.7627690026909,-6.99892683701982
8.6,24.9629162710994,-17.3134859432436,-7.64943032785579
8.8,24.623293557805,-16.3298269553986,-8.2934666024064
9,24.5493350974462,-15.6355014901593,-8.91383360728688
9.2,24.9850313216568,-15.3606430368311,-9.62438828482578
9.4,25.143210030841,-14.8468756790387,-10.2963343518023
9.6,24.6796140584901,-13.9221215393346,-10.7574925191554
9.8,24.1233958983969,-12.8915639061003,-11.2318319922966
10,24.2394685032501,-12.491941103618,-11.7475273996321
10.2,24.2762634134029,-11.9173715718066,-12.3588918415963
10.4,23.7693379316191,-11.0649460354901,-12.704391896129
10.6,22.9179863776713,-9.95523913947328,-12.962747238198
10.8,22.6657426424006,-9.34400566960803,-13.3217369727925
11,22.572761006504,-8.84844497119663,-13.7243160353074
11.2,22.0453132871815,-8.00574240447799,-14.0395708827035
11.4,21.0993608857007,-6.99416013221694,-14.1052007534838
11.6,20.4914365661077,-6.19303831352742,-14.2983982525802
11.8,20.2724413639014,-5.7702489393308,-14.5021924245706
12,19.7996320873021,-5.06908725867319,-14.7305448286289
12.2,18.8613023565681,-4.16780100880925,-14.6935013477589
12.4,18.0583040206403,-3.36906280298866,-14.6892412176516
12.6,17.6615906848188,-2.88692974981358,-14.7746609350052
12.8,17.2701709852114,-2.46243545966647,-14.8077355255449
13,16.4259061916596,-1.72518743697674,-14.7007187546828
13.2,15.529338931934,-1.02900955643385,-14.5003293755002
13.4,15.0627703836024,-0.573096481769731,-14.4896739018327
13.6,14.6510793135451,-0.278317168018761,-14.3727621455264
13.8,13.9422976020786,0.192567424945651,-14.1348650270242
14,12.9887136016283,0.792048141840646,-13.7807617434689
14.2,12.452000130997,1.17662928936011,-13.6286294203571
14.4,12.0338826796291,1.40704468167764,-13.4409273613068
14.6,11.3871582604045,1.65656203846251,-13.043720298867
14.8,10.5465353687142,2.09130069230169,-12.6378360610159
15,9.90098012778308,2.42111925850772,-12.3220993862908
15.2,9.53532659615235,2.57674151167855,-12.1120681078309
15.4,8.93741632425301,2.70507105594166,-11.6424873801947
15.6,8.25361085326093,2.91043228202085,-11.1640431352818
15.8,7.60876219905136,3.19760012352281,-10.8063623225742
16,7.22333473731963,3.27507240888957,-10.4984071462092
16.2,6.76667397139574,3.30669063400508,-10.0733646054008
16.4,6.13593482163063,3.36528080165141,-9.50121562328204
16.6,5.60926564746615,3.49676523356749,-9.10603088103364
16.8,5.22250397042257,3.52316073590613,-8.7456647063287
17,4.9290863273165,3.40963650350072,-8.33872283081722
17.2,4.40508087217195,3.37638793107163,-7.78146880324358
17.4,3.94095532154359,3.35480005883049,-7.29575538037409
17.6,3.62306096129577,3.31524520401966,-6.93830616531544
17.8,3.41407327086059,3.10016867334885,-6.51424194420944
18,3.0715216912045,2.94225225140436,-6.01377394260886
18.2,2.6761466101971,2.84940186711687,-5.52554847731397
18.4,2.44769271290024,2.71090006887701,-5.15859278177725
18.6,2.29025009600147,2.46954288070631,-4.75979297670778
18.8,2.0995137937777,2.18417432334788,-4.28368811712558
19,1.82196322855628,2.00083430036611,-3.8227975289224
19.2,1.65777286723055,1.79543199623543,-3.45320486346598
19.4,1.59863741895512,1.53809943514811,-3.13673685410323
19.6,1.51686593699723,1.2020902279899,-2.71895616498713
19.8,1.38093004016728,0.945085046019096,-2.32601508618638
20,1.29580837553746,0.711348370074414,-2.00715674561188
20.2,1.32331099100554,0.403137829265765,-1.72644882027131
20.4,1.32558234538771,0.0460536715683873,-1.3716360169561
20.6,1.29870310546706,-0.269563671900813,-1.02913943356624
20.8,1.29877552145261,-0.528201807549974,-0.770573713902631
21,1.41091671062491,-0.857907661823241,-0.553009048801664
21.2,1.51481048678325,-1.23091508383499,-0.28389540294826
21.4,1.567304366651,-1.57225950145986,0.00495513480886234
21.6,1.64267293924736,-1.82346152520754,0.180788585960182
21.8,1.82777749796119,-2.14020229671997,0.312424798758775
22,2.03544844824954,-2.51990153508169,0.484453086832154
22.2,2.14505650008079,-2.86194830038515,0.716891800304356
22.4,2.27432972168402,-3.09834940339475,0.824019681710725
22.6,2.49498084663,-3.347566243712,0.852585397082
22.8,2.79877438282853,-3.71640695682952,0.917632574000987
23,2.9860961358001,-4.05135926559585,1.06526312979575
23.2,3.13434248655606,-4.28333450271355,1.14899201615749
23.4,3.37486004792571,-4.44015092565725,1.06529087773154
23.6,3.73498542180664,-4.74998283018912,1.01499740838249
23.8,4.02846493044612,-5.0802950642936,1.05183013384749
24,4.16197290943359,-5.28079351560559,1.11882060617199
24.2,4.3996491941195,-5.37225690403014,0.972607709910644
24.4,4.76414274304249,-5.54696346490768,0.782820721865191
24.6,5.13468517450613,-5.8580848978635,0.723399723357371
24.8,5.31697142233466,-6.04412002278847,0.727148600453813
25,5.52451410417492,-6.1188102303873,0.59429612621238
25.2,5.87116391319793,-6.15218663035551,0.281022717157581
25.4,6.22273893508942,-6.33880382354446,0.116064888455045
25.6,6.46266785604673,-6.52426233265487,0.0615944766081427
25.8,6.59293092915455,-6.54350043111899,-0.0494304980355604
26,6.89007896738162,-6.48769311642338,-0.402385850958247
26.2,7.2235552239128,-6.49790909031948,-0.72564613359332
26.4,7.50158703256154,-6.66308734249888,-0.838499690062661
26.6,7.59996515073089,-6.65625040218722,-0.943714748543663
26.7999999999999,7.77451820543874,-6.5388602353549,-1.23565797008384
26.9999999999999,8.11978217294643,-6.42500109543779,-1.69478107750864
27.1999999999999,8.34509946079488,-6.43089860788113,-1.91420085291376
27.3999999999999,8.45217317323407,-6.46196059300067,-1.9902125802334
27.5999999999999,8.50861048730142,-6.28281755286902,-2.2257929344324
27.7999999999999,8.74260928533822,-6.0716257640082,-2.67098352133002
27.9999999999999,9.00347619909679,-5.94532282501415,-3.05815337408264
28.1999999999999,9.11138862248569,-5.96082738512671,-3.15056123735898
28.3999999999999,9.09036625726668,-5.77689403029677,-3.31347222696991
28.5999999999999,9.15040479624284,-5.47294426033277,-3.67746053591007
28.7999999999999,9.35416697056608,-5.22503215345719,-4.1291348171089
28.9999999999999,9.44292285135561,-5.13102896070021,-4.3118938906554
29.1999999999999,9.44473774957084,-5.05425374133857,-4.39048400823226
29.3999999999999,9.35983366211397,-4.68756447449009,-4.67226918762388
29.5999999999999,9.37965856777693,-4.32608439807269,-5.05357416970424
29.7999999999999,9.47445995239685,-4.11653153948662,-5.35792841291024
29.9999999999999,9.45904007584879,-4.05984622773141,-5.39919384811739
30.1999999999999,9.3256531093603,-3.75848856463222,-5.56716454472808
30.3999999999999,9.14498550521805,-3.28103809478701,-5.86394741043104
30.5999999999999,9.14875705958105,-2.98152452739524,-6.16723253218581
30.7999999999999,9.14022953921461,-2.86647528400702,-6.27375425520759
30.9999999999999,8.99104545439397,-2.70132429925528,-6.28972115513869
31.1999999999999,8.70981258970203,-2.21408060063657,-6.49573198906546
31.3999999999999,8.53624544817799,-1.80420211338624,-6.73204333479175
31.5999999999999,8.53206523892421,-1.63182995997078,-6.90023527895343
31.7999999999999,8.34790693955633,-1.5203219452587,-6.82758499429763
31.9999999999999,8.0761234055826,-1.16737433613814,-6.90874906944446
32.1999999999999,7.75605410060779,-0.672196402847742,-7.08385769776005
32.3999999999999,7.65900533601425,-0.436851679989199,-7.22215365602506
32.5999999999999,7.54158557079752,-0.337369213558799,-7.20421635723872
32.7999999999999,7.20110062723424,-0.136167227099464,-7.06493340013478
32.9999999999999,6.84899109633176,0.307734035264258,-7.15672513159601
33.1999999999999,6.6106802791077,0.638760520904627,-7.24944080001233
33.3999999999999,6.51191405480788,0.727888268926999,-7.23980232373488
33.5999999999999,6.19787321355278,0.842587193364442,-7.04046040691722
33.7999999999999,5.79359764004894,1.13988374424441,-6.93348138429335
33.9999999999999,5.48865740859161,1.51213673882368,-7.0007941474153
34.1999999999999,5.33450217166603,1.62671945959377,-6.9612216312598
34.3999999999999,5.11910379670595,1.66939912649914,-6.78850292320509
34.5999999999999,4.68475906045975,1.84253267752942,-6.52729173798917
34.7999999999999,4.33352169662175,2.14424318485714,-6.47776488147888
34.9999999999999,4.11973207094418,2.3161320376707,-6.43586410861488
35.1999999999999,3.96274161406828,2.29284669841402,-6.2555883124823
35.3999999999999,3.58109864165749,2.36548978843837,-5.94658843009586
35.5999999999999,3.17545982957786,2.55211951483776,-5.72757934441562
35.7999999999999,2.95489134923087,2.73479198417151,-5.68968333340238
35.9999999999999,2.82296700042548,2.69126514441088,-5.51423214483635
36.1999999999999,2.56417098321152,2.6492382576985,-5.21340924091002
36.3999999999999,2.16079703506324,2.74173036849475,-4.90252740355798
36.5999999999999,1.91556361102827,2.86470619837507,-4.78026980940334
36.7999999999999,1.7969935983681,2.84302345801294,-4.64001705638104
36.9999999999999,1.63512846021602,2.69922267612138,-4.3343511363374
37.1999999999999,1.30834884712056,2.68612668727456,-3.99447553439512
37.3999999999999,1.02898076855873,2.73381927891665,-3.76280004747538
37.5999999999999,0.941624480504049,2.71303552739547,-3.65466000789952
37.7999999999999,0.846394806664562,2.52761476760071,-3.37400957426527
37.9999999999999,0.633379746575774,2.3987290504103,-3.03210879698607
38.1999999999999,0.37146228829186,2.39016599526733,-2.76162828355919
38.3999999999999,0.276361953712682,2.32933143965022,-2.6056933933629
38.5999999999999,0.248472734955102,2.15563783603071,-2.40411057098581
38.7999999999999,0.133584929607335,1.93675728388288,-2.07034221349021
38.9999999999999,-0.0656052234486477,1.85123514417117,-1.78562992072253
39.1999999999999,-0.160856629150186,1.78152729560402,-1.62067066645383
39.3999999999999,-0.126268854731828,1.59193804023236,-1.46566918550053
39.5999999999999,-0.158230636564501,1.33102678391162,-1.17279614734712
39.7999999999999,-0.277459555607006,1.16477303580844,-0.88731348020143
39.9999999999999,-0.346259683809794,1.07447157322669,-0.728211889416892
40.1999999999999,-0.277613208328691,0.885772054204986,-0.608158845876295
40.3999999999999,-0.221756003451778,0.611817815601562,-0.390061812149785
40.5999999999999,-0.258770608159068,0.383806633299554,-0.125036025140486
40.7999999999999,-0.295982777110727,0.26395868851425,0.0320240885964765
40.9999999999999,-0.206113274536981,0.0975136582500126,0.108599616286969
41.1999999999999,-0.0640128016999202,-0.180155896418619,0.244168698118539
41.3999999999999,-0.0271442658371145,-0.449212358968574,0.476356624805688
41.5999999999999,-0.0280434166384317,-0.594833948893566,0.622877365531998
41.7999999999999,0.0811881351685018,-0.732863294933137,0.651675159764635
41.9999999999999,0.282246635236036,-0.99394805362766,0.711701418391624
42.1999999999999,0.397654398153075,-1.27601959287922,0.87836519472614
42.3999999999999,0.436376355502877,-1.4434141632351,1.00703780773222
42.5999999999999,0.543463332187356,-1.54381089419179,1.00034756200444
42.7999999999999,0.777336192444201,-1.75228011821355,0.974943925769349
42.9999999999999,0.973728118248226,-2.02715403243398,1.05342591418575
43.1999999999999,1.04880694611538,-2.22023063808291,1.17142369196753
43.3999999999998,1.15305069573705,-2.28982045098188,1.13676975524484
43.5999999999998,1.38801546213758,-2.42213453169086,1.03411906955328
43.7999999999998,1.65904461883647,-2.67925860387595,1.02021398503948
43.9999999999998,1.78115954127519,-2.87608059889776,1.09492105762257
44.1999999999998,1.87216027440631,-2.93400265028261,1.0618423758763
44.3999999999998,2.08137912678223,-2.97173622467295,0.890357097890718
44.5999999999998,2.38606865914608,-3.16558108960543,0.77951243045935
44.7999999999998,2.57755879093985,-3.36359240125143,0.786033610311573
44.9999999999998,2.6420704942222,-3.41850695662898,0.776436462406783
45.1999999999998,2.81297842677299,-3.38650078717379,0.573522360400805
45.3999999999998,3.10141572069395,-3.47093903463399,0.36952331394004
45.5999999999998,3.35532968448988,-3.66286802792456,0.307538343434684
45.7999999999998,3.42109585368539,-3.71035619962238,0.289260345937
45.9999999999998,3.51453443030932,-3.63406282566843,0.119528395359107
46.1999999999998,3.76430898544446,-3.59327355383403,-0.171035431610425
46.3999999999998,4.03814896300586,-3.72104443926123,-0.317104523744631
46.5999999999998,4.15427601118718,-3.78983496837709,-0.36444104281009
46.7999999999998,4.16079425742488,-3.67589805963078,-0.484896197794097
46.9999999999998,4.3414241172252,-3.54041062435793,-0.801013492867272
47.1999999999998,4.60251155221387,-3.54968123429195,-1.05283031792192
47.3999999999998,4.75838642547012,-3.63474397916647,-1.12364244630365
47.5999999999998,4.72943690821913,-3.51565929963937,-1.21377760857976
47.7999999999998,4.78150413749489,-3.30621677029502,-1.47528736719987
47.9999999999998,5.00674078235497,-3.19359294796413,-1.81314783439084
48.1999999999998,5.17509879136399,-3.2351204227912,-1.93997836857279
48.3999999999998,5.17549073866623,-3.17226876685688,-2.00322197180936
48.5999999999998,5.10379603276928,-2.90989989332494,-2.19389613944434
48.7999999999998,5.2341739129146,-2.70084255052325,-2.53333136239135
48.9999999999998,5.40934129011232,-2.65101336466902,-2.75832792544329
49.1999999999998,5.41930778258784,-2.63358640071652,-2.78572138187133
49.3999999999998,5.28165132938109,-2.38560645469767,-2.89604487468342
49.5999999999998,5.26175582244314,-2.08736740236799,-3.17438842007515
49.7999999999998,5.40784184101924,-1.94478514428309,-3.46305669673614
49.9999999999998,5.426297968302,-1.91315371085091,-3.51314425745109
50.1999999999998,5.28356240324346,-1.74586471719069,-3.53769768605278
50.3999999999998,5.12483289293579,-1.38728068714095,-3.73755220579484
50.5999999999998,5.16711357031965,-1.15607571119752,-4.01103785912213
50.7999999999998,5.22218337246829,-1.08104414195707,-4.14113923051122
50.9999999999998,5.06688226725935,-0.979709670836307,-4.08717259642304
51.1999999999998,4.82948207232507,-0.657519020231469,-4.1719630520936
51.3999999999998,4.72790718189406,-0.326850394346967,-4.40105678754709
51.5999999999998,4.77814700117307,-0.209095896611411,-4.56905110456166
51.7999999999998,4.6570376525912,-0.138716649657581,-4.51832100293362
51.9999999999998,4.39143727188149,0.0872699543832679,-4.47870722626476
52.1999999999998,4.17655390732492,0.45569462027299,-4.63224852759791
52.3999999999998,4.12979426562987,0.649350205837271,-4.77914447146714
52.5999999999998,4.08741375159168,0.689727829714304,-4.77714158130599
52.7999999999998,3.81341454593257,0.82264852304468,-4.63606306897725
52.9999999999998,3.5241415405111,1.13580064088112,-4.65994218139222
53.1999999999998,3.37998357135127,1.40768148696098,-4.78766505831224
53.3999999999998,3.34194056501281,1.44646876318816,-4.78840932820097
53.5999999999998,3.12354197445765,1.50373976693715,-4.6272817413948
53.7999999999998,2.78656195444823,1.72125170978228,-4.50781366423051
53.9999999999998,2.57078020355682,2.00538149438608,-4.5761616979429
54.1999999999998,2.48361711008123,2.0934892851684,-4.57710639524963
54.3999999999998,2.35174521879877,2.06991974923276,-4.42166496803154
54.5999999999998,2.01070449682214,2.19262802536778,-4.20333252218993
54.7999999999998,1.72415657761741,2.42794834769991,-4.15210492531732
54.9999999999998,1.60624919522978,2.56764069848979,-4.17388989371957
55.1999999999998,1.51432431867209,2.5086954547762,-4.02301977344829
55.3999999999998,1.23652394913653,2.52956083111254,-3.76608478024907
55.5999999999998,0.905049905821348,2.69027291868389,-3.59532282450523
55.7999999999998,0.752337946736161,2.82976592012853,-3.58210386686469
55.9999999999998,0.678926253211214,2.78952547529058,-3.46845172850179
56.1999999999998,0.503994454394004,2.6976759796562,-3.20167043405021
56.3999999999998,0.185099608154981,2.76852871833974,-2.95362832649472
56.5999999999998,-0.0212370522797882,2.87686606670884,-2.85562901442906
56.7999999999998,-0.070134306339396,2.85682250711694,-2.78668820077754
56.9999999999998,-0.169653203439083,2.7033989823567,-2.53374577891761
57.1999999999998,-0.418845092066701,2.66002554061245,-2.24118044854575
57.3999999999998,-0.656206590570852,2.72776113236595,-2.0715545417951
57.5999999999998,-0.705262319719939,2.70306009182281,-1.99779777210287
57.7999999999998,-0.733809452538803,2.53303462712803,-1.79922517458923
