"Time [ms]","Moving1.Torque [NewtonMeter]"
0,0
0.2,-0.0208873125261871
0.4,0.0866512582078429
0.6,0.126694855518333
0.8,-0.129575395967347
1,-0.22972892814819
1.2,0.135368592104026
1.4,0.843863195881519
1.6,-0.591971168895989
1.8,-0.866799232240949
2,-1.08267489928627
2.2,0.715188427400627
2.4,0.756150028674934
2.6,-1.82162886788932
2.8,-0.602530999269289
3,-0.444249278450204
3.2,0.780919364072788
3.4,-2.52528432847273
3.6,-1.79240314573391
3.8,-1.23255493437578
4,-3.37065051772366
4.2,-0.462508775242032
4.4,-2.69689837203646
4.6,-2.02397811901641
4.8,-5.16464172043241
5,-3.83672406062695
5.2,-1.55970403052203
5.4,-4.17538760737084
5.6,-5.08905963880218
5.8,-9.90112380061459
6,-2.80270890438383
6.2,-4.58721796605252
6.4,-9.3795629369967
6.6,-12.6521829602113
6.8,-8.85414963022203
7,-3.12769493517581
7.2,-12.9118859646199
7.4,-14.1968633924382
7.59999999999999,-13.0444490075467
7.79999999999999,-7.08130549983546
8,-11.245401701164
8.2,-20.4502131201094
8.4,-17.8370083396533
8.6,-13.4763713108743
8.8,-11.0979934123704
9,-24.1889528720763
9.2,-21.8811996843318
9.4,-16.4319082701655
9.6,-15.5948921834394
9.8,-22.4832237607592
10,-26.8720300656409
10.2,-21.1248710468175
10.4,-19.1634017271961
10.6,-23.1677210027995
10.8,-29.3598783954958
11,-26.3228139667012
11.2,-20.7266882244194
11.4,-25.2815513678767
11.6,-29.0785530369041
11.8,-28.2188082373547
12,-22.7578084040976
12.2,-24.5413957706918
12.4,-29.6351510305951
12.6,-27.454277269308
12.8,-26.9080696521479
13,-24.2367489021609
13.2,-29.5873206599067
13.4,-28.8933999822137
13.6,-25.3437140445033
13.8,-24.1328029834345
14,-26.9984100761765
14.2,-29.5620762005835
14.4,-22.5113250928879
14.6,-23.9079271483969
14.8,-24.8718219580399
15,-26.5144739552675
15.2,-23.1319329809541
15.4,-20.5054638912665
15.6,-22.9189651032541
15.8,-22.8546731061433
16,-21.8952665318645
16.2,-16.7495822829554
16.4,-18.2333649482471
16.6,-20.1742673272313
16.8,-18.219625849963
17,-15.3770948735762
17.2,-14.3440457709027
17.4,-16.1025187959355
17.6,-14.6739075274526
17.8,-12.6772288815411
18,-10.3728630655397
18.2,-10.9465973242739
18.4,-11.3157816947951
18.6,-8.70120100077104
18.8,-6.93168213956818
19,-6.95091362445569
19.2,-7.33593616897195
19.4,-5.58846588511105
19.6,-3.69646710528109
19.8,-2.84470700981093
20,-2.98312847906833
20.2,-2.05047796014375
20.4,-0.167910476993974
20.6,0.975275885961673
20.8,0.892605629469191
21,0.97818529508553
21.2,2.65439057599036
21.4,4.13535088909899
21.6,4.1874727665779
21.8,3.87413182807613
22,5.39878865842313
22.2,6.92207140123707
22.4,7.29130604019975
22.6,6.6361485301474
22.8,6.95506072589008
23,8.66295045903564
23.2,9.54061494124429
23.4,8.79648455865462
23.6,7.70701039173886
23.8,9.92591443610838
24,11.1963498085993
24.2,10.3594014780344
24.4,8.91028606988586
24.6,9.59371782744279
24.8,11.567283599405
25,10.8408497782228
25.2,9.59156991634516
25.4,8.13032316644565
25.6,10.9314334463215
25.8,11.3871434603395
26,9.0278675584814
26.2,7.62071897004032
26.4,8.50266976268839
26.6,10.7246708189063
26.7999999999999,7.61441529557331
26.9999999999999,6.04922141665422
27.1999999999999,5.74957032356577
27.3999999999999,8.19845851099728
27.5999999999999,7.56434432598339
27.7999999999999,3.70576719581484
27.9999999999999,3.1281779189314
28.1999999999999,4.23168058437145
28.3999999999999,6.17650729796418
28.5999999999999,1.90644242688374
28.7999999999999,-0.321644601990168
28.9999999999999,0.954488299850298
29.1999999999999,2.19339225395387
29.3999999999999,0.861566048425654
29.5999999999999,-3.27315983959135
29.7999999999999,-3.24975481295984
29.9999999999999,-2.15095484604292
30.1999999999999,-0.766979141522066
30.3999999999999,-4.3975480731685
30.5999999999999,-7.46033652409181
30.7999999999999,-4.66215450105738
30.9999999999999,-4.2537104766338
31.1999999999999,-6.14372842026564
31.3999999999999,-9.48226291411197
31.5999999999999,-9.10396085405782
31.7999999999999,-7.39681528395681
31.9999999999999,-7.64035671104997
32.1999999999999,-10.3356041345419
32.3999999999999,-12.6693666943385
32.5999999999999,-9.16167640332013
32.7999999999999,-9.32460020633236
32.9999999999999,-11.724123901828
33.1999999999999,-13.2164927510032
33.3999999999999,-12.1629792197428
33.5999999999999,-10.2686386176013
33.7999999999999,-12.0133145787266
33.9999999999999,-13.5969292426926
34.1999999999999,-13.9507990432559
34.3999999999999,-11.0685780902736
34.5999999999999,-11.3895428352345
34.7999999999999,-13.5124939328299
34.9999999999999,-13.6512099283264
35.1999999999999,-11.9195202266584
35.3999999999999,-10.4510308222442
35.5999999999999,-12.3715802392809
35.7999999999999,-12.9781064034744
35.9999999999999,-11.8587775275967
36.1999999999999,-9.86367499435663
36.3999999999999,-10.2061833097954
36.5999999999999,-11.6312976152549
36.7999999999999,-10.9559009406528
36.9999999999999,-9.03046435162798
37.1999999999999,-8.20455108390374
37.3999999999999,-9.88190407585922
37.5999999999999,-9.52584469771792
37.7999999999999,-7.73200663025576
37.9999999999999,-6.46407126030317
38.1999999999999,-6.97819364654234
38.3999999999999,-7.53611939546126
38.5999999999999,-6.02882347289959
38.7999999999999,-4.40890931456684
38.9999999999999,-4.18259212579878
39.1999999999999,-4.98594949790527
39.3999999999999,-4.32137902381615
39.5999999999999,-2.47378802665273
39.7999999999999,-1.84600511240833
39.9999999999999,-2.51283463733229
40.1999999999999,-2.25369703206405
40.3999999999999,-0.578096912121519
40.5999999999999,0.483346657501235
40.7999999999999,0.25980211637968
40.9999999999999,0.0754774727217537
41.1999999999999,1.15285149642754
41.3999999999999,2.49703278842799
41.5999999999999,2.655647671517
41.7999999999999,1.96502604711994
41.9999999999999,2.57655870495588
42.1999999999999,4.13044723769808
42.3999999999999,4.6392685412798
42.5999999999999,3.86113221719126
42.7999999999999,3.99839689846639
42.9999999999999,5.47843833965124
43.1999999999999,6.10719815102518
43.3999999999998,5.68626291378752
43.5999999999998,5.11554299996547
43.7999999999998,5.93751485285169
43.9999999999998,7.10026172033231
44.1999999999998,6.99835172516624
44.3999999999998,5.87529457550408
44.5999999999998,6.09539831223573
44.7999999999998,7.77728466520102
44.9999999999998,7.61613887982047
45.1999999999998,6.49109482672821
45.3999999999998,6.21407054499446
45.5999999999998,7.22170919032608
45.7999999999998,7.77296607533124
45.9999999999998,6.91421831114629
46.1999999999998,5.843480584506
46.3999999999998,5.99231782864297
46.5999999999998,7.56754901221664
46.7999999999998,6.80316868969054
46.9999999999998,5.07163833513469
47.1999999999998,5.23195318354873
47.3999999999998,6.19295540054163
47.5999999999998,6.12514381172039
47.7999999999998,4.41621518762392
47.9999999999998,3.63821383223996
48.1999999999998,4.10882711605904
48.3999999999998,4.99011300552297
48.5999999999998,3.84300320645332
48.7999999999998,1.81402706978496
48.9999999999998,2.48873764035394
49.1999999999998,3.22565236575283
49.3999999999998,2.76931758340841
49.5999999999998,0.6324411114027
49.7999999999998,0.221265759031024
49.9999999999998,1.17196101029474
50.1999999999998,1.15092991656773
50.3999999999998,-0.171629765064528
50.5999999999998,-1.97620669247335
50.7999999999998,-0.924304600764148
50.9999999999998,-0.425437579166023
51.1999999999998,-1.29136568172442
51.3999999999998,-3.1855186337953
51.5999999999998,-3.21523396546616
51.7999999999998,-1.88711177786717
51.9999999999998,-2.58214433404192
52.1999999999998,-3.91626873555519
52.3999999999998,-5.05333941830841
52.5999999999998,-3.88665033720646
52.7999999999998,-3.62873812120703
52.9999999999998,-4.62176888801905
53.1999999999998,-5.82700201016209
53.3999999999998,-5.58455117649421
53.5999999999998,-4.2352574890075
53.7999999999998,-5.0968204691936
53.9999999999998,-6.34107329387491
54.1999999999998,-6.40764550646052
54.3999999999998,-5.32423976898272
54.5999999999998,-5.13837529851095
54.7999999999998,-6.13586147041364
54.9999999999998,-6.70537694154811
55.1999999999998,-6.14398413080322
55.3999999999998,-4.91983788432189
55.5999999999998,-5.67995855542619
55.7999999999998,-6.81204850409235
55.9999999999998,-5.96879061592498
56.1999999999998,-5.00078100869573
56.3999999999998,-4.99438784079315
56.5999999999998,-5.79862377413151
56.7999999999998,-5.70489047833678
56.9999999999998,-4.74536547192941
57.1999999999998,-4.05806350769659
57.3999999999998,-4.6496703631246
57.5999999999998,-5.21086902664547
57.7999999999998,-4.14586116755776
57.9999999999998,-3.2186917303933
58.1999999999998,-3.4678789707915
58.3999999999998,-4.01281068845562
58.5999999999998,-3.44125043742451
58.7999999999998,-2.32655580543629
58.9999999999998,-2.09928289495874
59.1999999999998,-2.53361516566736
59.3999999999998,-2.4215383835972
59.5999999999998,-1.41903265038537
59.7999999999997,-0.765697126951945
59.9999999999997,-1.13706864498215
60.1999999999997,-1.47131701822727
60.3999999999997,-0.583846781727915
60.5999999999997,0.405311870672204
60.7999999999997,0.158902934800723
60.9999999999997,-0.240983920760662
61.1999999999997,0.406973248173201
61.3999999999997,1.38890338846545
61.5999999999997,1.54398861269298
61.7999999999997,1.15891756946674
