"Time [ms]","Moving1.Torque [NewtonMeter]"
0,0
0.2,-0.0208884350664585
0.4,0.0864795020826427
0.6,0.125521044124625
0.8,-0.13458388086111
1,-0.230363620818275
1.2,0.13528525255608
1.4,0.846333940636464
1.6,-0.59458052855643
1.8,-0.855543854361155
2,-1.01689380992009
2.2,0.716046572527391
2.4,0.748359468514366
2.6,-1.85385959673483
2.8,-0.540411691658508
3,-0.411202263415027
3.2,0.750045524277758
3.4,-2.52590864872165
3.6,-1.79073701659386
3.8,-1.27281107038571
4,-3.56915715924033
4.2,-0.411782130453559
4.4,-2.51333827304643
4.6,-2.11714187147269
4.8,-5.42038625038266
5,-4.03975308232381
5.2,-1.33292380143635
5.4,-4.14095777750664
5.6,-5.71858507273683
5.8,-10.4348425676589
6,-2.63032131284584
6.2,-4.43485947049663
6.4,-10.3260709253705
6.6,-13.6870567044189
6.8,-9.16053194613198
7,-2.61002285839211
7.2,-13.6842151065563
7.4,-15.9639486793019
7.59999999999999,-14.0627236580873
7.79999999999999,-7.00451807084247
8,-11.8401477081769
8.2,-22.7493029488902
8.4,-19.8556790073415
8.6,-14.2517546780062
8.8,-11.8645805878587
9,-27.0680845051055
9.2,-25.1036937493215
9.4,-18.3596923545504
9.6,-16.5604536054096
9.8,-25.2416143759457
10,-30.8963817380486
10.2,-24.4403072702356
10.4,-20.9747120963016
10.6,-25.662356959337
10.8,-34.1944249256678
11,-30.4641503461757
11.2,-23.6751709613374
11.4,-27.7511157417054
11.6,-33.9338773835043
11.8,-33.2352387976519
12,-26.462211082933
12.2,-27.4793299412727
12.4,-33.9423401096227
12.6,-33.1944513744371
12.8,-31.6529999088792
13,-27.6235382967552
13.2,-33.3966703022264
13.4,-34.2115499070244
13.6,-30.452064993947
13.8,-27.6129187930802
14,-30.5027808339396
14.2,-34.3977389346967
14.4,-27.4710003296022
14.6,-28.0445058761561
14.8,-27.9944967953063
15,-30.9085035323783
15.2,-27.6583937704255
15.4,-24.3760346232203
15.6,-25.9395945829336
15.8,-26.0605878539991
16,-25.8619338089486
16.2,-19.8680286408383
16.4,-20.9934493161361
16.6,-22.656734271053
16.8,-21.3667896718201
17,-18.1544359349903
17.2,-16.4648524973095
17.4,-18.1872375936505
17.6,-16.6707862599175
17.8,-14.9765856784775
18,-11.5293662996749
18.2,-12.0797899925073
18.4,-12.533343188558
18.6,-10.1647729966651
18.8,-7.7812476183589
19,-7.40867900959616
19.2,-7.99615803595188
19.4,-6.00427332224453
19.6,-4.15303776310437
19.8,-2.57661486849565
20,-2.79202421789152
20.2,-1.7012644546835
20.4,0.26836005189824
20.6,1.78994843322176
20.8,1.72221476635967
21,1.71122292584015
21.2,3.74876909863533
21.4,5.42842538862886
21.6,5.58504044417243
21.8,5.13423120587166
22,7.27195536373367
22.2,8.86493176281722
22.4,9.22050760607918
22.6,8.50726961596531
22.8,9.00078466609139
23,11.1415517576514
23.2,11.8489118137555
23.4,11.0268954550785
23.6,9.80813865449828
23.8,12.7782562419669
24,13.8649093153009
24.2,12.7176848397793
24.4,11.3953856650673
24.6,12.38615172952
24.8,14.5016981984208
25,13.1176810521375
25.2,11.9659614120052
25.4,10.6529550341834
25.6,13.8676783857447
25.8,13.8658129934844
26,10.8474520388428
26.2,9.8581045227011
26.4,11.2077529727675
26.6,13.1064013322366
26.7999999999999,8.79455036866198
26.9999999999999,7.46464917383212
27.1999999999999,7.51037431952589
27.3999999999999,9.97789045524328
27.5999999999999,8.81865594766491
27.7999999999999,4.4439699404987
27.9999999999999,4.14084922324162
28.1999999999999,5.05741955459588
28.3999999999999,6.8245453346393
28.5999999999999,1.80123660797754
28.7999999999999,-0.412685962514061
28.9999999999999,0.75169970643061
29.1999999999999,1.65410777654082
29.3999999999999,0.280430069887986
29.5999999999999,-4.44875100811746
29.7999999999999,-4.74177141932296
29.9999999999999,-4.06768740410659
30.1999999999999,-2.14848621991645
30.3999999999999,-6.01801003009454
30.5999999999999,-10.0024029408711
30.7999999999999,-7.5360576210688
30.9999999999999,-6.86798613426299
31.1999999999999,-8.50488648211953
31.3999999999999,-12.8055416055162
31.5999999999999,-13.0012322425351
31.7999999999999,-11.1448864939027
31.9999999999999,-10.6298208196855
32.1999999999999,-13.7418278252639
32.3999999999999,-17.3425040054337
32.5999999999999,-13.4827724919871
32.7999999999999,-13.1523974615214
32.9999999999999,-15.3873259261584
33.1999999999999,-17.8951324557803
33.3999999999999,-17.2655994469093
33.5999999999999,-14.654739883528
33.7999999999999,-16.0108397153781
33.9999999999999,-17.9319806824245
34.1999999999999,-19.1902523847376
34.3999999999999,-15.6868255192585
34.5999999999999,-15.4322880075084
34.7999999999999,-17.5250341744987
34.9999999999999,-18.3567172503399
35.1999999999999,-16.6113447004043
35.3999999999999,-14.3039415999562
35.5999999999999,-16.276661051221
35.7999999999999,-16.9836086472138
35.9999999999999,-16.215768577678
36.1999999999999,-13.3115176714242
36.3999999999999,-13.3345177441075
36.5999999999999,-14.8886456433191
36.7999999999999,-14.5909178744088
36.9999999999999,-12.1035245800883
37.1999999999999,-10.533321458369
37.3999999999999,-12.2493454469226
37.5999999999999,-12.1678225744492
37.7999999999999,-10.3050272310466
37.9999999999999,-8.1676275930877
38.1999999999999,-8.49194534651803
38.3999999999999,-9.30887407991272
38.5999999999999,-7.59213872962877
38.7999999999999,-5.42354951394559
38.9999999999999,-4.66248064498467
39.1999999999999,-5.81851284647252
39.3999999999999,-5.13710322390231
39.5999999999999,-2.85561042789092
39.7999999999999,-1.62240821761876
39.9999999999999,-2.37850810853137
40.1999999999999,-2.15177367058822
40.3999999999999,-0.00289704632385768
40.5999999999999,1.44593129488514
40.7999999999999,1.39202753368681
40.9999999999999,1.01801292084689
41.1999999999999,2.42076203874844
41.3999999999999,4.10877027296741
41.5999999999999,4.4753235465376
41.7999999999999,3.47946989243777
41.9999999999999,4.2935901552959
42.1999999999999,6.40989048792708
42.3999999999999,7.04642027960156
42.5999999999999,6.11905764533615
42.7999999999999,6.21029342350367
42.9999999999999,8.30773472437891
43.1999999999999,9.0169179115604
43.3999999999998,8.47176089328374
43.5999999999998,7.64536461248309
43.7999999999998,8.77970215832053
43.9999999999998,10.377068920179
44.1999999999998,10.081370560228
44.3999999999998,8.66930115086953
44.5999999999998,8.89620898610653
44.7999999999998,11.3012882504392
44.9999999999998,10.856537123288
45.1999999999998,9.3333631793514
45.3999999999998,9.00495158626777
45.5999999999998,10.3169647385575
45.7999999999998,11.0347253849633
45.9999999999998,9.64175820211327
46.1999999999998,8.32740756815572
