"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.2,0.00647216023661557,-0.898299416305971,0.891827256069356
0.4,0.0530879310308507,-1.7818967217239,1.72880879069305
0.6,0.161544512046975,-2.64577737499023,2.48423286294326
0.8,0.394128490635252,-3.56543305842738,3.17130456779212
1,0.666628096353862,-4.51632183023439,3.84969373388053
1.2,0.918466922634797,-5.45666543164733,4.53819850901253
1.4,1.23488476396184,-6.28491003649622,5.05002527253438
1.6,1.68727945049446,-7.158750281065,5.47147083057054
1.8,2.24874102327068,-8.12399426854177,5.87525324527109
2,2.64052985311697,-9.00207167428129,6.36154182116432
2.2,3.11487607329478,-9.88756888477819,6.77269281148341
2.4,3.71150871288584,-10.7262867343434,7.01477802145756
2.6,4.40265219466603,-11.6040247815574,7.20137258689136
2.8,5.05246192913753,-12.3865951464128,7.33413321727524
3,5.59434262525303,-13.2017244397999,7.60738181454685
3.2,6.3605079636707,-14.051374473808,7.69086651013728
3.4,7.17110630043502,-14.8254987658625,7.65439246542747
3.6,7.97868021630524,-15.5036406712802,7.52496045497499
3.8,8.71412637529847,-16.1572598534697,7.44313347817127
4,9.63943253342831,-16.982153208875,7.34272067544665
4.2,10.6267604574119,-17.6558921770141,7.02913171960217
4.4,11.4724792118703,-18.1295647896928,6.6570855778225
4.6,12.3050039687876,-18.4848511880149,6.17984721922729
4.8,13.1904883150873,-18.9894707373066,5.79898242221928
5,14.1709816414074,-19.4857401165849,5.31475847517748
5.2,14.907584787839,-19.7397711632763,4.83218637543735
5.4,15.588078198336,-19.8970592294266,4.30898103109062
5.6,16.3268550558077,-20.1277979052945,3.80094284948682
5.8,17.1188984622422,-20.4318203513834,3.3129218891412
6,17.8729382667947,-20.5253749719154,2.65243670512073
6.2,18.445095248378,-20.4509307937777,2.00583554539971
6.4,19.1283613719587,-20.412078678532,1.2837173065733
6.6,19.7816591194685,-20.4029975886247,0.621338469156218
6.8,20.4158271598593,-20.349145189028,-0.066681970831322
7,20.9096504920247,-19.9978717910052,-0.911778701019475
7.2,21.3706820964103,-19.6189215971181,-1.75176049929221
7.4,21.8757586647327,-19.2873953632388,-2.58836330149387
7.59999999999999,22.3505172981679,-18.9868424165787,-3.36367488158927
7.79999999999999,22.7633305328615,-18.528504538691,-4.23482599417047
7.99999999999999,23.0584709777457,-18.0007309094449,-5.05774006830081
8.2,23.3883317071623,-17.6972193853643,-5.69111232179798
8.4,23.6980324915983,-17.3977531946439,-6.30027929695443
8.6,23.8812391661176,-16.8929202376306,-6.98831892848701
8.8,23.9456301835071,-16.2044936668237,-7.74113651668343
9,23.9906825988757,-15.6630152958187,-8.327667303057
9.2,24.0223824406442,-15.1282496360425,-8.89413280460164
9.4,23.9739544700219,-14.4222657111275,-9.55168875889446
9.6,23.7941585204725,-13.6164332134392,-10.1777253070332
9.8,23.6035610698987,-12.8536660628019,-10.7498950070968
10,23.5009355445218,-12.4021201211157,-11.0988154234062
10.2,23.3174377152331,-11.7270254611785,-11.5904122540546
10.4,22.8951913362514,-10.9143674863185,-11.9808238499329
10.6,22.4166622210614,-10.0858211998793,-12.3308410211821
10.8,21.9942273759613,-9.47515389801894,-12.5190734779424
11,21.5954380967526,-8.82009400852649,-12.7753440882261
11.2,21.0099266524495,-7.91203382233386,-13.0978928301157
11.4,20.3530903071854,-7.02656560865439,-13.326524698531
11.6,19.8468416529785,-6.29280553293738,-13.5540361200411
11.8,19.4907447051747,-5.81971135290543,-13.6710333522693
12,18.969085384075,-5.08289788574822,-13.8861874983268
12.2,18.2724900264112,-4.29708015415705,-13.9754098722541
12.4,17.6345518981495,-3.61401105852584,-14.0205408396237
12.6,17.1017824813298,-3.12266219946746,-13.9791202818623
12.8,16.5031752694925,-2.61613232803787,-13.8870429414547
13,15.7208285952936,-1.87201373939722,-13.8488148558963
13.2,14.9623429468435,-1.24207222689929,-13.7202707199442
13.4,14.5463421905171,-0.823673739994944,-13.7226684505222
13.6,14.1028229162038,-0.538222219425174,-13.5646006967787
13.8,13.4374278822983,-0.0705239938340008,-13.3669038884643
14,12.6714271691973,0.425192643219676,-13.096619812417
14.2,12.205552389839,0.701987851393366,-12.9075402412323
14.4,11.7484122829867,0.843696899383521,-12.5921091823702
14.6,11.0882835291091,1.05608299261977,-12.1443665217289
14.8,10.2742371213029,1.4835894645831,-11.757826585886
15,9.65036034403748,1.82488966918468,-11.4752500132222
15.2,9.29971272319482,2.00150270436554,-11.3012154275604
15.4,8.73291314898359,2.12077200965361,-10.8536851586372
15.6,8.09271816393168,2.35897158735863,-10.4516897512903
15.8,7.48365386604007,2.6517302508881,-10.1353841169282
16,7.10412647596711,2.72226617416379,-9.8263926501309
16.2,6.67314149782981,2.72248860032614,-9.39563009815595
16.4,6.06627896528911,2.77760443189385,-8.84388339718297
16.6,5.54198480614573,2.92200274049095,-8.46398754663668
16.8,5.17127620398909,2.97707305021605,-8.14834925420514
17,4.90538654439815,2.87085689572203,-7.77624344012018
17.2,4.43874018393542,2.84650424563559,-7.28524442957101
17.4,4.01668612603402,2.86557014349382,-6.88225626952784
17.6,3.72455656479117,2.86565596187608,-6.59021252666725
17.8,3.540629126713,2.69744078791019,-6.23806991462319
18,3.20858765295666,2.56895344818258,-5.77754110113925
18.2,2.80555729499952,2.48580703439094,-5.29136432939046
18.4,2.5582756191265,2.40327676891223,-4.96155238803873
18.6,2.39121689137153,2.19499932991241,-4.58621622128394
18.8,2.18807200491093,1.93278215658396,-4.1208541614949
19,1.91279781645936,1.77220706915469,-3.68500488561405
19.2,1.74678699200506,1.60202556935277,-3.34881256135783
19.4,1.66573024165089,1.36527631323662,-3.0310065548875
19.6,1.56442324539936,1.05422952410133,-2.61865276950069
19.8,1.41285393303224,0.818558325646863,-2.2314122586791
20,1.31044027666227,0.60442288616445,-1.91486316282672
20.2,1.31621933445797,0.326227893025233,-1.6424472274832
20.4,1.28528308874147,-0.00158920272561464,-1.28369388601585
20.6,1.23044923434899,-0.306905613835601,-0.923543620513391
20.8,1.20572567170019,-0.557624663465721,-0.648101008234466
21,1.2837407490478,-0.876773035975458,-0.406967713072346
