"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.2,0.0746137124709601,-0.982990956550793,0.908377244079833
0.4,0.194694803302867,-1.94167092042699,1.74697611712413
0.6,0.371535674983793,-2.84916213623632,2.47762646125252
0.8,0.676326409132754,-3.81121087830662,3.13488446917387
1,1.01507473600592,-4.79062265158883,3.77554791558291
1.2,1.31284868971515,-5.73722134979285,4.4243726600777
1.4,1.67473971932521,-6.5617452770537,4.88700555772849
1.6,2.1793771593097,-7.47101196373106,5.29163480442137
1.8,2.80365626431205,-8.45747798313163,5.65382171881958
2,3.26393077627899,-9.33482045789536,6.07088968161637
2.2,3.82594277601514,-10.2912266504068,6.46528387439166
2.4,4.50786338529103,-11.1494778053561,6.64161442006507
2.6,5.26578747648754,-12.0319037230497,6.76611624656217
2.8,5.97914108283299,-12.8244103514922,6.84526926865919
3,6.57476026140408,-13.6483266748879,7.07356641348385
3.2,7.44257436505054,-14.5261373180205,7.08356295296997
3.4,8.31568134538634,-15.3376454772715,7.02196413188513
3.6,9.114315766511,-15.9324783867887,6.81816262027773
3.8,9.8340832017341,-16.5235711027227,6.68948790098856
4,10.8215480362844,-17.4218061445846,6.60025810830026
4.2,11.8731762481985,-18.2326245349964,6.35944828679794
4.4,12.5984789667171,-18.6128561671212,6.01437720040406
4.6,13.3371618003399,-18.8234449435403,5.48628314320044
4.8,14.2860016631846,-19.4520372802349,5.16603561705029
5,15.4816559602378,-20.2666841455726,4.78502818533482
5.2,16.2342118507326,-20.5471613878953,4.31294953716272
5.4,16.7680176630013,-20.424895720454,3.65687805745271
5.6,17.6206498334462,-20.6095703321314,2.98892049868522
5.8,18.8021315638973,-21.252576609299,2.45044504540167
6,19.6496013647015,-21.4880729040262,1.83847153932474
6.2,20.0000153811817,-21.1537146967894,1.15369931560776
6.4,20.6205242898101,-20.9056918358917,0.28516754608156
6.6,21.7680365558659,-21.2350063256525,-0.533030230213374
6.8,22.6497158909718,-21.453279666222,-1.19643622474976
7,22.9442390700903,-21.0090032137818,-1.93523585630853
7.2,23.1717946259092,-20.4008391272454,-2.77095549866384
7.4,24.1244470517375,-20.3865002917366,-3.73794676000094
7.59999999999999,24.9933818346953,-20.4893940731693,-4.50398776152602
7.79999999999999,25.2783791174017,-20.0674444282966,-5.21093468910511
8,25.192249532011,-19.1922768364998,-5.99997269551119
8.2,25.7101681995177,-18.8573192306153,-6.85284896890243
8.4,26.5162749605117,-18.7989307158632,-7.71734424464845
8.6,26.7744458324407,-18.3902148914663,-8.38423094097443
8.8,26.4479234808693,-17.410574346486,-9.03734913438326
9,26.4154474977527,-16.7214572733787,-9.69399022437401
9.2,26.9313002141817,-16.4967474546006,-10.4345527595812
9.4,27.1389098878927,-16.0173064101901,-11.1216034777027
9.6,26.6655199436997,-15.0887612649346,-11.5767586787652
9.8,26.0906522595955,-14.0316748662245,-12.058977393371
10,26.2432154248728,-13.6426410081118,-12.600574416761
10.2,26.3236597253264,-13.1088412877816,-13.2148184375448
10.4,25.7992892253968,-12.2555352363184,-13.5437539890784
10.6,24.8859782270482,-11.0971729582275,-13.7888052688207
10.8,24.6164491748724,-10.463024932283,-14.1534242425894
11,24.5470301044693,-9.99075409784909,-14.5562760066202
11.2,24.0168311020342,-9.15243141476871,-14.8643996872655
11.4,22.9814838320953,-8.09075122784484,-14.8907326042504
11.6,22.3187648617209,-7.25208428809084,-15.06668057363
11.8,22.1022239002394,-6.84362021755121,-15.2586036826882
12,21.6213460695312,-6.14452926430102,-15.4768168052301
12.2,20.6190034437392,-5.22018936271322,-15.398814081026
12.4,19.7098966487849,-4.36134593839706,-15.3485507103878
12.6,19.3122467176075,-3.87447323931183,-15.4377734782956
12.8,18.9294420191464,-3.47547495036355,-15.4539670687829
13,18.0619357215935,-2.74505780971522,-15.3168779118783
13.2,17.0700833145715,-1.99515039428263,-15.0749329202889
13.4,16.5272795173405,-1.48650112602183,-15.0407783913187
13.6,16.1744599517888,-1.23586575299477,-14.9385941987941
13.8,15.4627787293216,-0.777615943918034,-14.6851627854036
14,14.4545779992932,-0.159947835465479,-14.2946301638277
14.2,13.8404453897545,0.266399547224537,-14.106844936979
14.4,13.4572849183563,0.472391256389606,-13.9296761747459
14.6,12.8510528943394,0.684357545996787,-13.5354104403362
14.8,11.967589312445,1.12325324318155,-13.0908425556266
15,11.2384411437587,1.49257483352507,-12.7310159772837
15.2,10.8835687883346,1.65395233870641,-12.537521127041
15.4,10.3211338764084,1.75076761828466,-12.0719014946931
15.6,9.62021804266054,1.94910691712698,-11.5693249597875
15.8,8.92024649368253,2.25628351994667,-11.1765300136292
16,8.51548488601519,2.35618356947069,-10.8716684554859
16.2,8.0820076429625,2.37913062758575,-10.4611382705483
16.4,7.47219516953355,2.41173260262785,-9.8839277721614
16.6,6.92165770087887,2.55450615278721,-9.47616385366607
16.8,6.488883288239,2.61247824164978,-9.10136152988878
17,6.18867901089518,2.52135503274286,-8.71003404363804
17.2,5.68579821455341,2.4706705545737,-8.15646876912711
17.4,5.22215413107289,2.44375415556044,-7.66590828663333
17.6,4.86050729208261,2.43226081600235,-7.29276810808496
17.8,4.63821959363057,2.24465056450363,-6.88287015813419
18,4.30924260175859,2.09120194360407,-6.40044454536266
18.2,3.92224811948829,1.98330294066336,-5.90555106015165
18.4,3.66787536127234,1.86026610823272,-5.52814146950505
18.6,3.49605828604559,1.64212621461517,-5.13818450066076
18.8,3.32306329407973,1.36988662402441,-4.69294991810414
19,3.04812740562329,1.18273227149675,-4.23085967712003
19.2,2.88888244870673,0.992228390123573,-3.8811108388303
19.4,2.79454998739634,0.740947313288443,-3.53549730068478
19.6,2.72154115566685,0.423322869919215,-3.14486402558606
19.8,2.59748026129617,0.172679989310225,-2.7701602506064
20,2.51064634748345,-0.0674330911590665,-2.44321325632438
20.2,2.52451677364788,-0.35750090012014,-2.16701587352774
20.4,2.5169761533941,-0.690210091512741,-1.82676606188136
20.6,2.50451983836921,-0.994462985190676,-1.51005685317853
20.8,2.50635302511232,-1.25292502320142,-1.2534280019109
21,2.61498690217933,-1.5829518353319,-1.03203506684743
21.2,2.70181958932102,-1.92990655684019,-0.771913032480827
