"Time [ms]","Moving1.Torque [NewtonMeter]"
0,0
0.2,-0.0209822607632549
0.4,0.0864038898216426
0.6,0.125895977095027
0.8,-0.131463503784991
1,-0.228887318095322
1.2,0.136023751640689
1.4,0.836135307004914
1.6,-0.593021419871791
1.8,-0.880830150216469
2,-1.06321687885676
2.2,0.721957064186519
2.4,0.766292276792524
2.6,-1.8354691222368
2.8,-0.588647632241461
3,-0.453762373574699
3.2,0.796181439382638
3.4,-2.47765832084044
3.6,-1.78801897141138
3.8,-1.22753969600425
4,-3.50786244849189
4.2,-0.449017704172632
4.4,-2.58987119829089
4.6,-1.97649699638123
4.8,-5.28874213896024
5,-3.96606190393118
5.2,-1.49316152401599
5.4,-4.19719782742974
5.6,-5.41711783077225
5.8,-10.1656183956289
6,-2.70583973610832
6.2,-4.508943541583
6.4,-9.92658392829714
6.6,-13.1369046167347
6.8,-9.02126552083988
7,-2.9401896948717
7.2,-13.2895952815659
7.4,-15.0723883280956
7.59999999999999,-13.6073992769163
7.79999999999999,-7.0857645895628
8,-11.5297914481604
8.2,-21.5641398300921
8.4,-18.8500173185201
8.6,-13.830290196362
8.8,-11.4937869621576
9,-25.772352270913
9.2,-23.4780073656544
9.4,-17.3446929551807
9.6,-15.9768388390844
9.8,-23.8783705685228
10,-28.8994121518429
10.2,-22.8246325002517
10.4,-20.0973679948737
10.6,-24.3914446375753
10.8,-31.7655507832371
11,-28.4214275922989
11.2,-22.1914937622007
11.4,-26.5961258737773
11.6,-31.4542909200609
11.8,-30.6683688292493
12,-24.4832273200681
12.2,-26.0523916102392
12.4,-31.7302660619219
12.6,-30.1886943235295
12.8,-29.1061979921342
13,-25.9028055477065
13.2,-31.4312899185326
13.4,-31.4953482829658
13.6,-27.7712019925283
13.8,-25.814753147989
14,-28.6870577191088
14.2,-31.8642481631498
14.4,-24.8575391142367
14.6,-25.8465447431753
14.8,-26.4017929815842
15,-28.6677173945672
15.2,-25.2905234439991
15.4,-22.2896588985069
15.6,-24.313048556102
15.8,-24.3996583693855
16,-23.7767646793179
16.2,-18.2188688859282
16.4,-19.566271594608
16.6,-21.35907345171
16.8,-19.7079640319918
17,-16.6513420533211
17.2,-15.3149036373412
17.4,-17.0816731280423
17.6,-15.6148415192125
17.8,-13.7110445110809
18,-10.8446770697631
18.2,-11.4443364962998
18.4,-11.8945666413755
18.6,-9.38080288691629
18.8,-7.32533285232906
19,-7.12630589466707
19.2,-7.62467371654075
19.4,-5.72364378819346
19.6,-3.86257077566428
19.8,-2.69930604270054
20,-2.88024048068293
20.2,-1.8899184968873
20.4,0.0694332112622196
20.6,1.39319923857232
20.8,1.31262925180152
21,1.33030176884518
21.2,3.18167318258895
21.4,4.76509115292574
21.6,4.87365448787534
21.8,4.49188003944757
22,6.28294929922104
22.2,7.8847035678441
22.4,8.21926512842077
22.6,7.50937081356383
22.8,7.91882638360888
23,9.86995367938887
23.2,10.6575369059777
23.4,9.86033180704091
23.6,8.68383062486203
23.8,11.2790214353678
24,12.4799006325099
24.2,11.5097314731479
24.4,10.1065404982182
24.6,10.9284692796172
24.8,12.9534505933684
25,11.9424174022783
25.2,10.6686025075501
25.4,9.24388507856912
25.6,12.341555867082
25.8,12.6279097001481
26,9.88496368165916
26.2,8.65165424513585
26.4,9.80806274167751
26.6,11.9355867077574
26.7999999999999,8.24320120277725
26.9999999999999,6.74425725732854
27.1999999999999,6.58833585683297
27.3999999999999,9.07213197483003
27.5999999999999,8.20724240079493
27.7999999999999,4.08859676799302
27.9999999999999,3.6780433632862
28.1999999999999,4.67220574851548
28.3999999999999,6.50916096435502
28.5999999999999,1.85031586371155
28.7999999999999,-0.374030042164574
28.9999999999999,0.917896256509102
29.1999999999999,2.02230194772064
29.3999999999999,0.6509688609379
29.5999999999999,-3.81753224391771
29.7999999999999,-3.95473845484351
29.9999999999999,-2.97463526244013
30.1999999999999,-1.35642818367335
30.3999999999999,-5.1043441772286
30.5999999999999,-8.58741467623811
30.7999999999999,-5.91236159345889
30.9999999999999,-5.4087995389255
31.1999999999999,-7.19303771558404
31.3999999999999,-11.0298477869904
31.5999999999999,-10.846884639288
31.7999999999999,-9.04314119660442
31.9999999999999,-8.95029636884123
32.1999999999999,-11.9009322790349
32.3999999999999,-14.8181795870159
32.5999999999999,-11.0709755895919
32.7999999999999,-11.0031769421341
32.9999999999999,-13.3533263005923
33.1999999999999,-15.344298512109
33.3999999999999,-14.4880592292135
33.5999999999999,-12.2663112094115
33.7999999999999,-13.8137727389398
33.9999999999999,-15.5450981026042
34.1999999999999,-16.3168507456089
34.3999999999999,-13.1405012679086
34.5999999999999,-13.1888709149089
34.7999999999999,-15.3781185451855
34.9999999999999,-15.7827998643852
35.1999999999999,-14.0083981151526
35.3999999999999,-12.145111682309
35.5999999999999,-14.1341141131203
35.7999999999999,-14.8095525650682
35.9999999999999,-13.8134399954008
36.1999999999999,-11.3336289877905
36.3999999999999,-11.5785546723041
36.5999999999999,-13.0884717224888
36.7999999999999,-12.5987290639701
36.9999999999999,-10.3511866588448
37.1999999999999,-9.22215314845927
37.3999999999999,-11.025523304809
37.5999999999999,-10.7016618971625
37.7999999999999,-8.91697238002947
37.9999999999999,-7.18244163955562
38.1999999999999,-7.63325043455692
38.3999999999999,-8.33882081533323
38.5999999999999,-6.70254113404398
38.7999999999999,-4.82176834572679
38.9999999999999,-4.36142824534337
39.1999999999999,-5.34013388784687
39.3999999999999,-4.66993334598022
39.5999999999999,-2.62428264637534
39.7999999999999,-1.7327755980293
39.9999999999999,-2.41869770840887
40.1999999999999,-2.198756527413
40.3999999999999,-0.296724058367947
40.5999999999999,0.946512896309898
40.7999999999999,0.779904468938235
40.9999999999999,0.50160667592059
41.1999999999999,1.74148269610847
41.3999999999999,3.25839820115401
41.5999999999999,3.5057604472229
41.7999999999999,2.66849914453486
41.9999999999999,3.3559763060903
42.1999999999999,5.1649758666661
42.3999999999999,5.74737881146797
42.5999999999999,4.89517544192486
42.7999999999999,5.00888301756836
42.9999999999999,6.76172437696671
43.1999999999999,7.42329394359605
43.3999999999998,6.93141253946209
43.5999999999998,6.22031418448071
43.7999999999998,7.20394113434832
43.9999999999998,8.58680722941078
44.1999999999998,8.40379373361129
44.3999999999998,7.09933669487837
44.5999999999998,7.33512709073474
44.7999999999998,9.33313783562029
44.9999999999998,9.13120436262793
45.1999999999998,7.78906242559376
45.3999999999998,7.47249044703023
45.5999999999998,8.61581561713525
45.7999999999998,9.24940506797881
45.9999999999998,8.17359906547977
46.1999999999998,6.97120955347922
46.3999999999998,7.1305982107536
46.5999999999998,8.96007872287816
46.7999999999998,7.95385176416712
46.9999999999998,5.90421195056097
47.1999999999998,6.10817041636595
47.3999999999998,7.21524607879162
47.5999999999998,7.17789908123655
47.7999999999998,5.07953919367332
47.9999999999998,4.13425676367295
48.1999999999998,4.62163177264196
48.3999999999998,5.70518536926172
48.5999999999998,4.28654824421593
48.7999999999998,1.84885392317797
48.9999999999998,2.66325980057325
49.1999999999998,3.52446514088609
49.3999999999998,3.011187568491
49.5999999999998,0.358494627641295
49.7999999999998,-0.253353704581348
49.9999999999998,0.985874950123107
50.1999999999998,1.03713345344221
50.3999999999998,-0.537916109646814
50.5999999999998,-2.93631284826107
50.7999999999998,-1.64761177831916
50.9999999999998,-0.986766400420708
51.1999999999998,-1.88556355398841
51.3999999999998,-4.25754666716729
51.5999999999998,-4.39765656931526
51.7999999999998,-2.84859765797582
51.9999999999998,-3.5568866867645
52.1999999999998,-5.14307711235224
52.3999999999998,-6.41480975821788
52.5999999999998,-5.21584341569104
52.7999999999998,-4.83761833602983
52.9999999999998,-5.95516298447487
53.1999999999998,-7.35614692104605
53.3999999999998,-7.25425718215669
53.5999999999998,-5.58827140574495
53.7999999999998,-6.48352044842706
53.9999999999998,-7.95967202272511
54.1999999999998,-8.05151080038157
54.3999999999998,-6.80722138002104
54.5999999999998,-6.49654709895333
54.7999999999998,-7.6756848123565
54.9999999999998,-8.45028201616944
55.1999999999998,-7.67646010316424
55.3999999999998,-6.1578932152728
55.5999999999998,-7.017446141211
55.7999999999998,-8.41525053689878
55.9999999999998,-7.52778797326609
56.1999999999998,-6.21141245928027
56.3999999999998,-6.0403473537144
56.5999999999998,-7.03341532007977
56.7999999999998,-7.06134153854904
56.9999999999998,-5.87608841447834
57.1999999999998,-4.86596604325835
57.3999999999998,-5.51059823461532
57.5999999999998,-6.25039485887649
57.7999999999998,-5.03669958538584
57.9999999999998,-3.84343346076792
58.1999999999998,-4.02476095468347
58.3999999999998,-4.69082427952981
58.5999999999998,-4.05287999839654
58.7999999999998,-2.6819044935665
58.9999999999998,-2.29230431385172
59.1999999999998,-2.80162853450316
59.3999999999998,-2.73643662456944
59.5999999999998,-1.50561806598357
59.7999999999997,-0.65241581101394
59.9999999999997,-1.04573574364629
60.1999999999997,-1.49018245810277
60.3999999999997,-0.436103473746854
60.5999999999997,0.75647170957054
60.7999999999997,0.567368110626385
60.9999999999997,0.0827214700358316
61.1999999999997,0.810538072059645
61.3999999999997,2.01274580575226
61.5999999999997,2.24835502720906
61.7999999999997,1.74297311689029
61.9999999999997,1.81494899278838
62.1999999999997,2.92531855162816
62.3999999999997,3.67202290061967
62.5999999999997,3.11195411630401
62.7999999999997,2.65584018525197
62.9999999999998,3.75048060200922
63.1999999999998,4.64590169526821
63.3999999999998,4.28675405964511
63.5999999999998,3.71093654195434
63.7999999999998,4.25694993533176
63.9999999999998,5.28959173429843
64.1999999999998,5.26954478728347
64.3999999999998,4.62455781668189
64.5999999999998,4.42104470771744
64.7999999999998,5.48034020049362
64.9999999999998,5.90670902004577
65.1999999999998,5.05910905060335
65.3999999999998,4.54487527306411
65.5999999999998,5.24861183050687
65.7999999999998,6.08248425349845
65.9999999999998,5.25734681737603
66.1999999999998,4.59504084979105
66.3999999999998,4.71761356972594
66.5999999999999,5.47821729557308
66.7999999999999,5.31015159291017
66.9999999999999,4.2549223432921
67.1999999999999,3.97971586559647
67.3999999999999,4.56333358801935
67.5999999999999,5.13115640804658
67.7999999999999,3.77923902076828
67.9999999999999,3.06721515697381
68.1999999999999,3.5579541548194
68.3999999999999,3.96174615946505
68.5999999999999,3.27768924297412
68.7999999999999,2.24166114792737
68.9999999999999,2.16357730403379
69.1999999999999,2.49190086451235
69.3999999999999,2.7284609026379
69.5999999999999,1.40075374835641
69.7999999999999,0.604713773892975
70,1.40042484475089
70.2,1.43038996836981
70.4,0.49129264450194
70.6,-0.381551664311849
70.8,-0.323860954560408
71,-0.0715524008193796
71.2,-0.293305361303607
71.4,-1.38285812180922
71.6,-2.02740852571715
71.8,-1.11910568277029
72,-1.210089730116
72.2,-2.18455511150924
72.4,-2.78519425986838
72.6,-2.54938532086542
72.8,-2.1706914506372
73,-2.68750979809775
73.2,-3.4384641269972
73.4,-3.73205297261849
73.6000000000001,-2.9184432752897
73.8000000000001,-2.94578068075115
74.0000000000001,-3.87741988965961
74.2000000000001,-4.15091818039282
74.4000000000001,-3.65003622504879
74.6000000000001,-3.12345353974804
74.8000000000001,-3.72767185114462
75.0000000000001,-4.20030565827115
75.2000000000001,-3.97413803847366
75.4000000000001,-3.31633133194644
75.6000000000001,-3.3394130401469
75.8000000000001,-4.04843749478237
76.0000000000001,-4.03232080513476
76.2000000000001,-3.40160240217905
76.4000000000001,-2.93972861080873
76.6000000000001,-3.53463271595713
76.8000000000001,-3.79282193547652
77.0000000000002,-3.11701628878401
77.2000000000002,-2.52219561865433
77.4000000000002,-2.68627005637478
77.6000000000002,-3.08355820316084
77.8000000000002,-2.72414089359456
78.0000000000002,-2.0071591643714
78.2000000000002,-1.78262350242504
78.4000000000002,-2.27580830363014
78.6000000000002,-2.34416005565649
78.8000000000002,-1.39176156065697
79.0000000000002,-1.01191938902339
79.2000000000002,-1.44136744955133
79.4000000000002,-1.49495023876291
79.6000000000002,-0.792610178178872
79.8000000000002,-0.175982061464967
80.0000000000002,-0.300705052356057
80.2000000000002,-0.615611859870545
