"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.2,0.0725291415495863,-0.981948827089801,0.909419685540215
0.4,0.189207318587831,-1.93889366980255,1.74968635121472
0.6,0.360728076073349,-2.84378906377678,2.48306098770344
0.8,0.656663168338657,-3.80127696815095,3.14461379981229
1,0.985379192326577,-4.7756990656691,3.79031987334253
1.2,1.27437810967341,-5.71801238277722,4.44363427310381
1.4,1.62473206452381,-6.53682544349448,4.91209337897067
1.6,2.11254918005209,-7.43608358333637,5.32353440328429
1.8,2.71729020880119,-8.41135612454345,5.69406591574226
2,3.1643731379908,-9.28267429803733,6.11830116004652
2.2,3.70556424827938,-10.2262815853776,6.52071733709826
2.4,4.36051641164419,-11.069688249125,6.70917183748086
2.6,5.09209875511954,-11.9376589709906,6.84556021587108
2.8,5.7811706441974,-12.7152635046898,6.93409286049244
3,6.35246037603117,-13.5229411607026,7.17048078467146
3.2,7.17226765882205,-14.368289843238,7.19602218441596
3.4,8.00821979392097,-15.1554793746272,7.14725958070623
3.6,8.7837664906937,-15.739854750613,6.95608825991934
3.8,9.46208294972605,-16.3054389418299,6.8433559921039
4,10.3831806338088,-17.1551337154215,6.77195308161269
4.2,11.3847584379908,-17.9282368103748,6.54347837238401
4.4,12.0846169095965,-18.2922086873221,6.20759177772564
4.6,12.7827377341371,-18.4840313871866,5.70129365304954
4.8,13.6602608124702,-19.0620865413206,5.4018257288504
5,14.7719122093939,-19.8197591131513,5.04784690375739
5.2,15.4955965327608,-20.0753137874133,4.5797172546525
5.4,16.0007108268152,-19.9387784445247,3.93806761770947
5.6,16.7714878243279,-20.0768365716217,3.30534874729371
5.8,17.8454993308064,-20.6511994536844,2.80570012287802
6,18.6468160647767,-20.849165460494,2.20234939571726
6.2,18.9714992387148,-20.5007000978029,1.52920085908809
6.4,19.5188664746275,-20.2224877572034,0.703621282575856
6.6,20.5268999630211,-20.4700364138576,-0.0568635491635305
6.8,21.3357214480136,-20.6393041880064,-0.696417260007205
7,21.5989912352394,-20.1705414955272,-1.4284497397122
7.2,21.7906681705838,-19.5517854756287,-2.23888269495509
7.4,22.6048827679627,-19.4695802191281,-3.13530254883457
7.59999999999999,23.3636061535409,-19.5076670658112,-3.85593908772969
7.79999999999999,23.6108661780792,-19.0528580962056,-4.55800808187363
8,23.4866421554277,-18.1681867159398,-5.31845543948787
8.2,23.8964939459497,-17.784935163395,-6.11155878255463
8.4,24.5903910529047,-17.662546347897,-6.92784470500769
8.6,24.785338614533,-17.2081137391551,-7.57722487537789
8.8,24.4494273308241,-16.2245454253391,-8.22488190548493
9,24.3707069113342,-15.5295461475732,-8.84116076376101
9.2,24.798018306179,-15.2497826920184,-9.54823561416062
9.4,24.9525244676492,-14.7309707923585,-10.2215536752907
9.6,24.4903150278102,-13.8095339964739,-10.6807810313363
9.8,23.9351384127132,-12.7816287131025,-11.1535096996107
10,24.0507087027184,-12.3837726549741,-11.6669360477443
10.2,24.0830474715879,-11.8040436709573,-12.2790038006306
10.4,23.5767551635124,-10.9502134207855,-12.6265417427269
10.6,22.7329789190861,-9.84402417239239,-12.8889547466937
10.8,22.481411692853,-9.23631854172996,-13.245093151123
11,22.3879579014654,-8.73849558097225,-13.6494623204931
11.2,21.8609990530645,-7.8950136999372,-13.9659853531273
11.4,20.9247810439394,-6.89026435331607,-14.0345166906234
11.6,20.3213521637536,-6.09238497979198,-14.2289671839616
11.8,20.1026939046212,-5.66845684247344,-14.4342370621477
12,19.6282777182284,-4.96595114758027,-14.6623265706481
12.2,18.6976747482215,-4.06713898038819,-14.6305357678333
12.4,17.9026171429933,-3.27214814438544,-14.6304689986079
12.6,17.5122156092866,-2.79177201432611,-14.7204435949605
12.8,17.1153833366045,-2.36613696591082,-14.7492463706937
13,16.2727946521738,-1.62825323054287,-14.6445414216309
13.2,15.3870943721581,-0.938748542667423,-14.4483458294907
13.4,14.928028881254,-0.488668392506969,-14.439360488747
13.6,14.5104465409792,-0.188816620655928,-14.3216299203232
13.8,13.8007503867773,0.284463333680424,-14.0852137204577
14,12.8524459398899,0.882773594859597,-13.7352195347495
14.2,12.3213498981516,1.26347832095795,-13.5848282191096
14.4,11.9010220915104,1.49595627469616,-13.3969783662065
14.6,11.2534163242676,1.74788660457903,-13.0013029288466
14.8,10.4184602553534,2.17991686901999,-12.5983771243734
15,9.77874876686241,2.50882252882399,-12.2875712956864
15.2,9.41139912975814,2.66469402799425,-12.0760931577524
15.4,8.81105180703413,2.79413958551905,-11.6051913925532
15.6,8.1276966225331,2.99984760016814,-11.1275442227012
15.8,7.48834397759353,3.28591966204966,-10.7742636396432
16,7.10523900429399,3.36010038217857,-10.4653393864726
16.2,6.64586943213932,3.39213982831316,-10.0380092604525
16.4,6.01380179753524,3.45364873762336,-9.4674505351586
16.6,5.49012321834701,3.58371265003737,-9.07383586838438
16.8,5.10816257160452,3.60647024804484,-8.71463281964936
17,4.81458604811011,3.4908684076972,-8.30545445580731
17.2,4.27746449889951,3.44358062539585,-7.72104512429536
17.4,3.82644699607386,3.43810533292106,-7.26455232899492
17.6,3.5125216523258,3.39584841913422,-6.90837007146002
17.8,3.28307751980144,3.17892715152853,-6.46200467132997
18,2.96052112737427,3.01919498853221,-5.97971611590648
18.2,2.56583465161428,2.92694786593017,-5.49278251754445
18.4,2.33929409867013,2.78735763059308,-5.1266517292632
18.6,2.18303873651565,2.54429539693163,-4.72733413344729
18.8,1.99053750241774,2.25740532200068,-4.24794282441842
19,1.71290847159022,2.07388921031368,-3.7867976819039
19.2,1.54979865039916,1.86851326045052,-3.41831191084968
19.4,1.4924339504819,1.60905007491974,-3.10148402540164
19.6,1.40977002250283,1.27079569862367,-2.6805657211265
19.8,1.27302336433749,1.01284717110896,-2.28587053544645
20,1.18793453880077,0.779735516603426,-1.9676700554042
20.2,1.21703351382981,0.46977112572739,-1.6868046395572
20.4,1.22012266472764,0.110288389358004,-1.33041105408564
20.6,1.1917550633533,-0.206816696692696,-0.984938366660604
20.8,1.19208587325247,-0.465512364005459,-0.726573509247008
21,1.30466260631899,-0.795505669555388,-0.509156936763606
21.2,1.41030624919556,-1.1714869550852,-0.238819294110362
21.4,1.46295711559617,-1.51456497433521,0.0516078587390354
21.6,1.53721305299699,-1.76621065206008,0.228997599063087
21.8,1.72226886455964,-2.08199911352029,0.359730248960642
22,1.93126585249861,-2.46354659975361,0.532280747254997
22.2,2.04218525210026,-2.80841031169055,0.766225059590292
22.4,2.1698173636226,-3.04544927942063,0.875631915798026
22.6,2.39034947741719,-3.29520826455347,0.90485878713628
22.8,2.69480086660155,-3.66398606585642,0.969185199254871
23,2.88368031133096,-4.0009987253687,1.11731841403774
23.2,3.03225377244295,-4.23435146619863,1.20209769375569
23.4,3.27091017579097,-4.39119708780516,1.12028691201419
23.6,3.63049044084424,-4.69954340294787,1.06905296210363
23.8,3.92543101675114,-5.03180313569613,1.10637211894498
24,4.06081633661063,-5.23487253425271,1.17405619764208
24.2,4.29576238231706,-5.32581788976264,1.03005550744558
24.4,4.659588739415,-5.50014003689946,0.840551297484454
24.6,5.03096066377709,-5.810467431863,0.779506768085909
24.8,5.214281232617,-5.99773743794426,0.783456205327258
25,5.4187128305966,-6.07188673947116,0.653173908874562
25.2,5.76189701056002,-6.10345777602783,0.341560765467809
25.4,6.11656043537003,-6.29065468224626,0.174094246876225
25.6,6.36031804943381,-6.47839725325254,0.118079203818731
25.8,6.48839022461144,-6.49779534720497,0.00940512259352833
26,6.78204030678883,-6.44027181355699,-0.341768493231843
26.2,7.11667640876426,-6.4507060036893,-0.665970405074966
